F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,CLAIMNO
F,5,6,2,M2,S2,M1,L2,D,0,19.73,0
F,7,8,2,M1,S0,M1,L2,D,0,1.64,0
F,13,20,2,C,S1,M3,L1,B,0,12.33,0
P,11,20,2,M1,S5,M1,L1,B,0,1.00,0
F,2,2,3,M2,S1,M1,L2,D,0,6.38,0
F,1,4,2,M2,S3,M1,L3,D,2,1.90,0
F,10,20,1,C,S3,M0,L2,B,0,1.00,0
P,1,0,2,H2,S5,M3,L2,D,0,7.30,0
P,4,6,2,M1,S5,M1,L2,D,0,7.20,0
P,9,4,2,M1,S5,M1,L3,D,0,5.85,0
F,1,4,3,H2,S1,M2,L2,D,0,2.00,0
F,14,0,2,M1,S1,M1,L2,D,0,8.70,0
P,5,0,2,M1,S1,M2,L1,D,1,1.00,0
F,1,0,2,C,S3,M1,L2,B,0,25.80,1
F,7,10,2,M2,S1,M2,L4,D,0,3.00,0
P,12,6,2,M1,S5,M1,L2,B,0,4.00,1
F,6,0,2,M2,S1,M2,L1,D,1,2.00,0
F,3,4,2,M2,S1,M1,L1,D,1,3.22,0
F,1,8,1,M1,S1,M0,L2,B,0,1.00,0
P,2,10,2,M1,S2,M1,L2,B,0,3.56,0
F,4,20,2,M1,S3,M1,L4,D,0,0.19,0
F,2,4,2,M1,S3,M1,L3,B,0,1.00,0
F,14,2,2,M2,S2,M1,L4,D,2,0.08,0
F,8,20,2,M2,S3,M1,L1,B,0,2.00,0
F,7,0,2,H2,S2,M3,L2,D,3,2.00,0
F,14,8,2,H2,S1,M3,L3,B,1,0.08,0
F,5,14,1,H2,S2,M3,L2,B,0,0.78,0
P,9,10,2,C,S5,M1,L2,B,0,1.00,0
F,10,14,3,M2,S2,M2,L2,B,0,1.99,0
F,14,10,2,M2,S0,M2,L2,D,1,6.88,0
F,3,8,2,M1,S1,M1,L2,B,1,3.00,0
F,9,0,2,M2,S1,M3,L2,B,0,1.00,0
F,2,2,2,M2,S2,M1,L1,D,4,1.64,0
P,2,6,2,M1,S2,M1,L2,D,0,7.00,0
F,6,8,1,M1,S2,M1,L2,B,0,1.00,0
F,6,0,2,M1,S3,M1,L2,D,0,8.00,0
P,10,6,2,M2,S3,M3,L2,B,0,1.00,0
F,13,14,2,M1,S0,M1,L2,B,1,0.68,0
F,8,8,2,H1,S3,M3,L2,D,0,1.00,0
F,1,0,3,M2,S1,M1,L1,D,4,1.00,0
F,2,8,2,M2,S2,M3,L1,B,0,1.71,0
F,2,4,3,H1,S1,M2,L1,D,0,1.00,0
F,14,20,2,M1,S0,M2,L1,D,0,0.44,0
F,2,2,2,H1,S1,M3,L3,D,4,0.95,0
