F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE
P,1,0,2,M2,S3,M2,L2,B,0,3.00
F,14,2,2,M2,S1,M2,L2,D,2,0.23
F,3,14,3,M1,S1,M1,L1,B,0,1.00
F,7,8,3,M2,S2,M1,L2,D,0,3.22
F,4,6,2,M2,S2,M1,L2,E,0,2.96
F,5,6,2,H1,S1,M3,L3,D,1,1.00
F,8,10,3,H1,S3,M2,L4,D,0,1.00
F,5,20,1,M1,S2,M0,L1,B,0,1.00
F,14,14,2,C,S2,M2,L2,B,0,0.09
F,9,20,2,H1,S2,M1,L1,B,0,1.00
P,13,10,2,M1,S2,M1,L1,B,0,1.00
F,3,4,2,M2,S1,M3,L2,D,0,1.73
P,13,14,3,M1,S5,M1,L2,D,0,2.00
F,6,20,2,C,S1,M2,L1,B,0,3.00
F,2,8,2,H1,S5,M2,L1,D,2,1.00
F,11,2,2,M1,S1,M1,L1,D,1,1.97
F,13,4,2,H1,S1,M2,L3,D,1,1.00
F,7,0,3,H1,S2,M2,L2,D,1,1.00
P,3,10,3,M1,S5,M1,L2,D,0,1.00
F,3,14,2,H1,S3,M2,L2,B,0,1.00
P,6,6,2,H1,S5,M3,L2,D,0,1.25
P,6,4,2,H1,S1,M2,L4,D,0,0.18
F,11,4,1,M1,S2,M1,L2,B,1,0.95
F,13,20,3,M2,S2,M1,L1,D,0,0.22
F,13,6,2,M2,S3,M2,L4,D,0,1.00
F,4,0,2,M1,S3,M2,L1,B,1,2.00
F,13,14,2,M1,S0,M1,L3,D,0,2.00
F,2,2,2,M2,S5,M2,L1,D,3,1.00
F,2,4,3,M1,S1,M1,L1,D,0,1.00
P,1,0,2,M1,S0,M1,L1,B,0,1.00
F,1,20,2,M2,S3,M1,L2,B,1,1.00
F,3,2,2,H1,S2,M1,L3,D,1,0.08
P,4,0,2,H1,S5,M3,L1,B,1,1.00
F,1,0,2,H2,S2,M3,L1,B,1,1.00
F,14,14,1,M1,S3,M0,L2,B,0,0.74
F,11,2,2,M1,S1,M2,L1,B,1,1.00
F,9,10,1,H2,S3,M3,L1,B,0,1.00
P,9,2,2,M1,S2,M1,L4,B,0,1.00
F,1,0,3,M2,S5,M1,L1,D,1,1.00
F,1,14,2,H1,S2,M3,L1,D,1,1.00
F,2,0,2,H1,S1,M3,L1,D,0,1.00
P,4,4,2,M2,S5,M3,L2,D,1,1.00
F,14,10,2,H1,S1,M3,L2,B,2,0.21
F,7,14,2,H1,S2,M3,L2,D,0,1.77
F,9,0,2,M1,S2,M1,L1,D,2,1.00
P,5,4,2,M1,S5,M2,L3,D,0,1.00
F,13,4,2,M1,S1,M1,L1,B,1,1.00
F,3,14,2,H2,S1,M3,L2,D,1,0.11
F,12,4,2,M2,S0,M1,L2,D,1,1.00
F,1,2,3,M2,S2,M2,L2,B,1,1.00
P,1,20,2,M1,S5,M0,L1,B,0,1.00
F,11,2,2,M1,S1,M1,L2,D,1,1.00
F,12,8,2,M1,S2,M0,L1,B,0,1.00
F,12,8,2,M2,S3,M1,L3,D,0,0.69
F,12,0,2,M1,S1,M1,L1,D,1,1.00
F,10,4,2,M2,S1,M2,L2,D,0,40.82
F,1,2,2,M2,S1,M2,L2,D,2,51.19
F,13,14,2,C,S1,M0,L1,B,0,68.61
F,8,14,2,M1,S1,M1,L2,B,0,195.55
F,1,0,2,H1,S1,M3,L2,D,1,6.53
F,14,10,2,M1,S2,M1,L3,D,0,8.41
F,1,6,2,M1,S2,M2,L1,D,0,42.56
F,12,20,2,M1,S1,M0,L1,B,0,6.21
F,1,20,2,C,S3,M1,L1,B,0,384.11
P,1,0,2,M1,S2,M1,L2,B,0,59.85
F,9,14,2,M1,S0,M2,L1,B,0,0.34
F,4,6,2,M2,S1,M2,L3,D,0,26.78
F,12,14,2,M2,S3,M1,L2,D,0,1.24
F,6,0,2,M1,S2,M1,L1,E,0,2.00
F,1,8,2,M1,S1,M1,L3,B,0,45.25
F,1,6,2,M1,S3,M1,L2,B,2,1.00
F,4,20,3,M1,S2,M1,L1,D,0,3.80
F,3,20,2,C,S2,M1,L4,D,0,1.00
F,15,14,2,C,S1,M1,L2,B,0,3.66
F,12,10,2,M1,S3,M1,L2,D,0,12.44
F,5,6,2,H1,S3,M2,L1,D,0,3.00
F,3,14,2,M2,S3,M1,L2,D,1,3.00
P,2,8,2,H1,S5,M2,L2,D,1,1.00
F,3,0,2,M2,S2,M1,L2,D,2,6.97
F,2,14,2,M1,S2,M2,L1,D,0,5.87
F,12,10,2,M1,S2,M0,L1,B,0,3.62
F,1,14,2,M2,S3,M1,L4,D,0,4.96
F,14,2,2,H1,S1,M3,L3,E,1,1.00
F,13,14,2,M1,S2,M1,L4,B,0,3.00
F,10,10,2,M2,S1,M2,L3,D,0,5.92
P,5,0,2,M1,S2,M1,L1,B,2,2.00
F,2,6,2,H1,S0,M2,L3,D,0,1.00
F,1,2,2,M2,S2,M2,L2,D,5,3.74
F,10,10,2,M1,S0,M1,L1,D,1,1.00
F,13,6,2,M2,S0,M2,L4,D,0,0.34
F,1,6,3,M2,S2,M1,L1,D,0,13.00
F,10,14,2,M1,S2,M2,L2,D,0,3.51
F,12,4,2,M1,S2,M1,L2,B,1,2.00
F,2,8,2,M2,S1,M1,L4,D,0,1.32
